acquisition,volume,slice,normalization_scale,computed_flipped_scale,reference_max_abs_consistency_error,zf_max_abs_consistency_error,mask_max_abs_consistency_error,ram_equivariance_psnr,ram_equivariance_nmse,ram_equivariance_mean_abs_error,original_ram_psnr,flipped_ram_psnr,delta_ram_psnr,original_ram_ssim,flipped_ram_ssim,delta_ram_ssim,original_ram_nmse,flipped_ram_nmse,delta_ram_nmse
AXFLAIR,file_brain_AXFLAIR_200_6002581,5,0.00022169209842104465,0.00022169211297295988,0.0,4.76837158203125e-07,0.0,44.31455802497041,0.0012231932837407898,0.007534946780651808,35.21733856201172,35.38347625732422,0.1661376953125,0.9114574193954468,0.9132128953933716,0.0017554759979248047,0.011482956819236279,0.011051968671381474,-0.000430988147854805
AXFLAIR,file_brain_AXFLAIR_200_6002581,6,0.0002014174679061398,0.00020141748245805502,0.0,3.5762786865234375e-07,0.0,42.067547217182145,0.0011374393640940688,0.007173117250204086,33.27864074707031,33.362735748291016,0.08409500122070312,0.901978611946106,0.901934802532196,-4.380941390991211e-05,0.014072277583181858,0.01380241010338068,-0.000269867479801178
AXFLAIR,file_brain_AXFLAIR_200_6002581,11,8.088185859378427e-05,8.088185859378427e-05,0.0,3.5762786865234375e-07,0.0,41.49278472956375,0.001096729045019047,0.00638564070686698,30.9788818359375,31.06678009033203,0.08789825439453125,0.832627534866333,0.837980329990387,0.005352795124053955,0.02004212886095047,0.019640574231743813,-0.0004015546292066574
AXFLAIR,file_brain_AXFLAIR_201_6002872,7,0.00014326293603517115,0.0001432629651390016,0.0,3.5762786865234375e-07,0.0,39.13540700702858,0.0010326300212154386,0.00731071038171649,32.62519073486328,32.74653625488281,0.12134552001953125,0.9076024889945984,0.9100409746170044,0.002438485622406006,0.005420659203082323,0.005271296016871929,-0.0001493631862103939
AXFLAIR,file_brain_AXFLAIR_201_6002872,12,0.00013606343418359756,0.00013606343418359756,0.0,2.980232238769531e-07,0.0,43.58925709405745,0.0010263498927425062,0.0036481195129454136,32.73726272583008,32.75864791870117,0.02138519287109375,0.915576159954071,0.916899561882019,0.001323401927947998,0.012526641599833965,0.012465113773941994,-6.152782589197159e-05
AXFLAIR,file_brain_AXFLAIR_201_6002872,13,0.0001113790858653374,0.0001113790858653374,0.0,3.5762786865234375e-07,0.0,50.719276318955075,0.0002659991226138028,0.0023380042985081673,36.025634765625,36.04768753051758,0.022052764892578125,0.9339076280593872,0.9350298643112183,0.0011222362518310547,0.010825579054653645,0.01077075395733118,-5.482509732246399e-05
AXT1,file_brain_AXT1_202_2020215,2,0.000552519632037729,0.000552519632037729,0.0,3.5762786865234375e-07,0.0,40.1365014704496,0.0018866242993297565,0.007656855508685112,33.73224639892578,33.76639938354492,0.034152984619140625,0.9174062609672546,0.9172247052192688,-0.00018155574798583984,0.008912370540201664,0.00884256325662136,-6.980728358030319e-05
AXT1,file_brain_AXT1_202_2020215,7,0.0006297924555838108,0.0006297923973761499,0.0,3.5762786865234375e-07,0.0,41.88223431506718,0.0012072179882767551,0.005741691682487726,35.04758834838867,35.207481384277344,0.15989303588867188,0.9293568730354309,0.9284136891365051,-0.0009431838989257812,0.005858784541487694,0.005647003650665283,-0.00021178089082241058
AXT1,file_brain_AXT1_202_2020215,13,0.0006394564989022911,0.0006394564989022911,0.0,2.980232238769531e-07,0.0,46.99492545495865,0.00038912112353712685,0.002691763686016202,37.349021911621094,37.4584846496582,0.10946273803710938,0.9422038793563843,0.9288495182991028,-0.013354361057281494,0.004522387403994799,0.004409824497997761,-0.00011256290599703789
AXT1,file_brain_AXT1_201_6002759,3,0.0002578082785475999,0.00025780830765143037,0.0,3.5762786865234375e-07,0.0,34.850155137583265,0.0028376345794930164,0.012371779419481754,30.602169036865234,30.552581787109375,-0.049587249755859375,0.873676598072052,0.8756864666938782,0.002009868621826172,0.009885916486382484,0.009999443776905537,0.00011352729052305222
AXT1,file_brain_AXT1_201_6002759,8,0.00025276996893808246,0.000252769939834252,0.0,2.980232238769531e-07,0.0,37.25458021110835,0.0012963054731004297,0.009368560276925564,29.829851150512695,29.838987350463867,0.009136199951171875,0.8704935908317566,0.8776459097862244,0.0071523189544677734,0.007471514865756035,0.007455815095454454,-1.569977030158043e-05
AXT1,file_brain_AXT1_201_6002759,11,0.0002701870398595929,0.00027018706896342337,0.0,2.980232238769531e-07,0.0,39.36820758750032,0.0010375405451955103,0.006098526529967785,30.718416213989258,30.68440055847168,-0.034015655517578125,0.8998313546180725,0.8980395197868347,-0.001791834831237793,0.0080759571865201,0.008139463141560555,6.350595504045486e-05
